customer_id,churn,age,gender,country,subscription_status,total_orders,total_quantity,total_revenue,average_order_value,average_unit_price,average_rating,total_cancellations,average_purchase_frequency,max_purchase_frequency,min_purchase_frequency,first_purchase_date,last_purchase_date,signup_date,tenure_days,orders_per_month,average_quantity_per_order,product_diversity,category_diversity,product_name_diversity,cancellation_rate,revenue_per_order,revenue_per_unit,purchase_activity_ratio,customer_value,revenue_per_month,quantity_per_month,cancellation_per_order,rating_adjusted_value,frequency_consistency,purchase_intensity,revenue_intensity,quantity_intensity,customer_value_per_month,tenure_years,orders_per_tenure_year,revenue_per_order_month,revenue_x_frequency,orders_x_purchase_activity,value_x_purchase_activity,cancellation_x_frequency,diversity_ratio,recency_band,value_band,frequency_band
CUST1000,0,39,Female,Canada,active,1,5,391.05,391.05,78.21,4.2,0,37.0,37,37,2023-02-21,2023-02-21,2021-07-01,600,0.0476190476190476,5.0,1,1,1,0.0,391.05,78.21,0.0016638935108153,719.5319999999999,19.5525,0.25,0.0,964.17288,1.0,0.6083333333333334,237.88875,3.041666666666667,35.9766,1.643835616438356,0.6083333333333334,19.5525,14859.899999999998,0.0016638935108153,1.19722462562396,0.0,2.0,Long Inactive,Low Value,Low Frequency
CUST1001,1,61,Female,USA,active,1,8,512.16,512.16,64.02,4.0,0,35.0,35,35,2021-08-12,2021-08-12,2020-10-19,297,0.091743119266055,8.0,1,1,1,0.0,512.16,64.02,0.0033557046979865,921.888,51.73333333333333,0.8080808080808081,0.0,1198.4544,1.0,1.228956228956229,629.4222222222222,9.831649831649832,93.12,0.8136986301369863,1.228956228956229,51.73333333333333,18437.76,0.0033557046979865,3.093583892617449,0.0,2.0,Long Inactive,Low Value,Low Frequency
CUST1002,0,26,Female,Pakistan,cancelled,1,2,1208.28,1208.28,604.14,3.9,3,44.0,44,44,2023-04-09,2023-04-09,2023-10-06,0,1.0,2.0,1,1,1,3.0,1208.28,604.14,1.0,2150.7384,12082.8,20.0,3.0,2752.945152,1.0,365.0,441022.2,730.0,21507.384,0.0,365.0,12082.8,54372.6,1.0,2150.7384,135.0,2.0,Long Inactive,High Value,Low Frequency
CUST1003,0,54,Male,India,paused,1,4,338.64,338.64,84.66,4.2,4,1.0,1,1,2024-02-20,2024-02-20,2023-07-30,205,0.1276595744680851,4.0,1,1,1,4.0,338.64,84.66,0.0048543689320388,623.0976,49.557073170731705,0.5853658536585367,4.0,834.9507840000001,1.0,1.7804878048780488,602.9443902439024,7.121951219512195,91.18501463414636,0.5616438356164384,1.7804878048780488,49.557073170731705,677.28,0.0048543689320388,3.024745631067961,8.0,2.0,Long Inactive,Low Value,Low Frequency
CUST1004,0,50,Male,India,active,1,7,438.62,438.62,62.66,4.2,0,35.0,35,35,2024-09-14,2024-09-14,2020-09-12,1463,0.0200937709310113,7.0,1,1,1,0.0,438.62,62.66,0.0006830601092896,807.0608000000001,8.994258373205742,0.1435406698564593,0.0,1081.4614720000002,1.0,0.2494873547505126,109.43014354066985,1.7464114832535884,16.549435406698567,4.008219178082192,0.2494873547505126,8.994258373205742,15790.32,0.0006830601092896,0.5512710382513661,0.0,2.0,Long Inactive,Low Value,Low Frequency
CUST1005,0,46,Male,Pakistan,active,1,8,1772.88,1772.88,221.61,3.9,2,16.0,16,16,2025-08-13,2025-08-13,2023-05-16,820,0.0352941176470588,8.0,1,1,1,2.0,1772.88,221.61,0.0012180267965895,3155.7264000000005,64.86146341463416,0.2926829268292683,2.0,4039.329792000001,1.0,0.4451219512195122,789.1478048780488,3.5609756097560976,115.4534048780488,2.246575342465753,0.4451219512195122,64.86146341463416,30138.960000000003,0.0012180267965895,3.843759317904994,34.0,2.0,At Risk,Very High Value,Low Frequency
CUST1006,0,29,Female,Germany,active,1,4,702.96,702.96,175.74,4.1,1,7.0,7,7,2025-07-15,2025-07-15,2023-10-04,650,0.0441176470588235,4.0,1,1,1,1.0,702.96,175.74,0.0015360983102918,1279.3872,32.44430769230769,0.1846153846153846,1.0,1688.7911039999997,1.0,0.5615384615384615,394.73907692307694,2.246153846153846,59.04863999999999,1.7808219178082192,0.5615384615384615,32.44430769230769,5623.68,0.0015360983102918,1.965264516129032,8.0,2.0,At Risk,Medium Value,Low Frequency
CUST1007,0,24,Female,UK,active,1,5,47.8,47.8,9.56,4.3,2,34.0,34,34,2024-12-31,2024-12-31,2022-11-07,785,0.0368098159509202,5.0,1,1,1,2.0,47.8,9.56,0.0012722646310432,88.908,1.826751592356688,0.1910828025477706,2.0,120.91488,1.0,0.464968152866242,22.22547770700637,2.32484076433121,3.3977579617834395,2.150684931506849,0.464968152866242,1.826751592356688,1673.0000000000002,0.0012722646310432,0.1131145038167939,70.0,2.0,Long Inactive,Low Value,Low Frequency
CUST1008,0,53,Female,Pakistan,paused,1,1,1525.8,1525.8,1525.8,4.2,4,32.0,32,32,2024-12-26,2024-12-26,2021-04-25,1341,0.0218818380743982,1.0,1,1,1,4.0,1525.8,1525.8,0.0007451564828614,2807.472,34.13422818791946,0.0223713646532438,4.0,3762.01248,1.0,0.2721849366144668,415.2997762863535,0.2721849366144668,62.806979865771815,3.673972602739726,0.2721849366144668,34.13422818791946,50351.4,0.0007451564828614,2.092005961251863,132.0,2.0,Long Inactive,Very High Value,Low Frequency
CUST1009,0,38,Male,Germany,active,1,4,1348.96,1348.96,337.24,4.0,2,6.0,6,6,2024-11-29,2024-11-29,2021-09-12,1174,0.0249169435215946,4.0,1,1,1,2.0,1348.96,337.24,0.0008510638297872,2428.128,34.470868824531514,0.1022146507666098,2.0,3156.5664,1.0,0.3109028960817717,419.3955706984668,1.243611584327087,62.04756388415674,3.2164383561643834,0.3109028960817717,34.470868824531514,9442.72,0.0008510638297872,2.066491914893617,14.0,2.0,Long Inactive,High Value,Low Frequency
CUST1010,1,41,Female,UK,active,1,6,1218.3000000000002,1218.3000000000002,203.05,4.3,2,38.0,38,38,2022-02-08,2022-02-08,2020-04-10,669,0.0429184549356223,6.0,1,1,1,2.0,1218.3000000000002,203.05000000000004,0.0014925373134328,2266.038,54.6322869955157,0.2690582959641255,2.0,3081.81168,1.0,0.5455904334828102,664.6928251121078,3.273542600896861,101.6160538116592,1.832876712328767,0.5455904334828102,54.6322869955157,47513.7,0.0014925373134328,3.3821462686567165,78.0,2.0,Long Inactive,High Value,Low Frequency
CUST1011,0,24,Female,Canada,active,1,1,940.17,940.17,940.17,4.2,1,24.0,24,24,2025-12-03,2025-12-03,2022-12-02,1097,0.0266193433895297,1.0,1,1,1,1.0,940.17,940.17,0.0009107468123861,1729.9128,25.71112123974476,0.0273473108477666,1.0,2318.083152,1.0,0.332725615314494,312.81864175022787,0.332725615314494,47.30846308113036,3.0054794520547947,0.332725615314494,25.71112123974476,23504.25,0.0009107468123861,1.575512568306011,25.0,2.0,Very Recent,Medium Value,Low Frequency
